title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
Mercedes SLK 350,"46,500",https://calgary.craigslist.org/cto/d/delta-southwest-mercedes-slk-350/7498574121.html,34000,,clean,automatic,2015 mercedes-benz slk350,rwd,convertible,6 cylinders,75
2020 RAM 3500 LIMITED CREW CAB 4X4,"104,989",https://calgary.craigslist.org/ctd/d/maple-ridge-2020-ram-3500-limited-crew/7497992253.html,81000,,clean,automatic,2020 Ram 3500,4wd,truck,6 cylinders,76
1987 Classic 560SL Convertible Mercedes,"31,000",https://calgary.craigslist.org/cto/d/esquimalt-1987-classic-560sl/7499032255.html,100000,,clean,automatic,1987 mercedes benz 560sl,rwd,convertible,8 cylinders,77
1981 Datsun 280 ZX Turbo - Loaded,"12,500",https://calgary.craigslist.org/cto/d/prince-george-south-1981-datsun-280-zx/7499295687.html,216500,,clean,automatic,1981 nissan datsun 280zx turbo,rwd,hatchback,6 cylinders,78
"GMC Sierra 1500 2013 Truck, 20k obo","20,000",https://calgary.craigslist.org/cto/d/brooks-gmc-sierra-truck-20k-obo/7499398865.html,272000,1GTR2UEA2DZ331612,clean,automatic,2013 GMC Sierra 1500,4wd,truck,8 cylinders,79
1973 F-250,"1,500",https://ftmcmurray.craigslist.org/cto/d/breynat-1973-250/7501240035.html,73000,,clean,automatic,1973 Ford f-250,rwd,truck,8 cylinders,80
Cadillac Escalade Sport Platinum 4X4,"139,999",https://calgary.craigslist.org/ctd/d/calgary-cadillac-escalade-sport/7489586630.html,16666,,clean,automatic,2021 cadillac escalade platinum,4wd,,8 cylinders,81
2005 Jeep Grand Cherokee,"3,000",https://calgary.craigslist.org/cto/d/calgary-south-2005-jeep-grand-cherokee/7499857629.html,181000,,clean,automatic,2005 grand cherokee,,,,82
Honda cr v,"4,900",https://calgary.craigslist.org/cto/d/calgary-honda-cr/7499963051.html,311700,,clean,automatic,2004 honda crv,4wd,SUV,4 cylinders,83
2009 Subaru Forester 2.5X Touring,"2,000",https://lethbridge.craigslist.org/cto/d/lethbridge-southeast-2009-subaru/7501554534.html,168000,,clean,automatic,2009 subaru forester 2.5x,,,4 cylinders,84
2009 Subaru Forester 2.5X Touring,"2,000",https://hat.craigslist.org/cto/d/medicine-hat-south-2009-subaru-forester/7501558637.html,168000,,clean,automatic,2009 subaru forester 2.5x,,,,85
