title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2016 FORD F550 - 12FT FLAT DECK TRUCK *4X4 DIESEL CREW CAB* ONLY 160K,"67,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2016-ford-ft-flat-deck-truck/7502060660.html,160000,,clean,automatic,2016 FORD F550,4wd,truck,8 cylinders,17
2012 FORD F550 - 42FT BUCKET TRUCK *4X4 DIESEL* HYBRID BOOM SYSTEM*,"86,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2012-ford-ft-bucket-truck-4x4/7492033734.html,163000,,clean,automatic,2012 FORD F550,4wd,truck,8 cylinders,18
2004 FORD E350 - 33FT BUCKET VAN *5.4L V8* FULLY CERTIFIED /WORK READY,"33,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2004-ford-ft-bucket-van-54l/7492026572.html,227000,,clean,automatic,2004 FORD E350,rwd,truck,8 cylinders,19
2007 FREIGHTLINER M2 112 - SIDE DUMP TRUCK W/ REAR HIAB CRANE *TANDEM*,"39,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2007-freightliner-side-dump/7492023825.html,435000,,clean,automatic,2007 FREIGHTLINER M2 112,rwd,truck,6 cylinders,20
GMC Sierra 1500 2007 SLT,"8,000",https://edmonton.craigslist.org/cto/d/edmonton-gmc-sierra-slt/7486926728.html,275000,,clean,automatic,2007 gmc sierra 1500,4wd,,,21
2017 MERCEDES-BENZ G550 4X4 SQUARED! LOCAL BC! OWN A PIECE OF HISTORY!,"269,900",https://regina.craigslist.org/ctd/d/langley-city-2017-mercedes-benz-g550/7490657331.html,54000,,clean,automatic,2017 Mercedes-Benz G550 4x4 Squared,4wd,SUV,8 cylinders,22
Food Truck Coffee Truck,"98,000",https://edmonton.craigslist.org/cto/d/surrey-east-food-truck-coffee-truck/7487442680.html,10000,,clean,automatic,1988 gmc,,,,23
Classic 4x4 GMC Sierra Rollout Tooxbox Cover,"10,497",https://edmonton.craigslist.org/cto/d/edmonton-classic-4x4-gmc-sierra-rollout/7487552020.html,212000,,clean,automatic,2002 gmc sierra 1500,4wd,truck,,24
2020 Rav 4,"40,000",https://edmonton.craigslist.org/cto/d/edmonton-2020-rav/7488093429.html,35000,,clean,automatic,2020 2002 toyota rav4,4wd,SUV,4 cylinders,25
2022 CHEVROLET CORVETTE STINGRAY Z51! ONLY 250KM! TAKE IT HOME TODAY!,"149,900",https://edmonton.craigslist.org/ctd/d/langley-city-2022-chevrolet-corvette/7488226752.html,250,,clean,automatic,2022 Chevrolet Corvette Stingray Z51,rwd,coupe,8 cylinders,26
2017 Toyota Highlander,"33,500",https://edmonton.craigslist.org/cto/d/edmonton-2017-toyota-highlander/7488397434.html,127762,,clean,automatic,2017 2017 Toyota Highlander,,SUV,,27
"2014 Dodge Challenger RT SHAKER  ... Only 36,000 kms","37,887",https://reddeer.craigslist.org/ctd/d/red-deer-county-2014-dodge-challenger/7480324059.html,36000,,clean,automatic,2014 dodge challenger r/t,rwd,,8 cylinders,28
